direction,entry_px,entry_time,exit_px,exit_time,option_symbol,pnl_pct,pnl_usd,regime,score,signal_time,sl_hint,squeeze,tf_15m,tf_1h,tf_5m,ticker,trend_bonus,uvol,vix,vix_mult
CALL,0.43,2026-05-29 09:37:33,0.26,2026-05-29 09:38:53,MSFT260529C00452500,-39.5,-34.0,bull,16.4,2026-05-29 09:37:26,40.0,False,9.0,5.0,9.0,MSFT,0.0,True,15.7,0.85
CALL,1.74,2026-05-29 12:17:16,1.31,2026-05-29 12:25:20,NVDA260529C00215000,-24.7,-43.0,bull,18.0,2026-05-29 12:17:08,40.0,True,4.0,4.0,4.0,NVDA,0.0,True,15.4,0.85
CALL,1.81,2026-05-29 12:38:10,2.06,2026-05-29 12:47:54,NVDA260529C00215000,13.8,25.0,bull,17.6,2026-05-29 12:38:01,33.0,True,3.0,4.0,4.0,NVDA,0.0,True,15.4,0.85
CALL,2.2,2026-05-29 13:13:20,1.75,2026-05-29 13:20:00,NVDA260529C00215000,-20.5,-45.0,bull,18.0,2026-05-29 13:13:11,28.0,True,4.0,4.0,4.0,NVDA,0.0,True,15.3,0.85
CALL,0.95,2026-06-01 10:30:52,0.71,2026-06-01 10:37:29,NVDA260601C00222500,-25.3,-24.0,bull,18.5,2026-06-01 10:30:43,28.0,True,5.0,5.0,3.0,NVDA,0.0,True,16.1,0.85
CALL,0.53,2026-06-01 10:44:49,0.35,2026-06-01 10:55:34,NVDA260601C00222500,-34.0,-36.0,bull,17.9,2026-06-01 10:44:40,25.0,True,4.0,5.0,2.0,NVDA,0.0,True,16.1,0.85
CALL,1.08,2026-06-01 11:52:04,0.9,2026-06-01 11:55:44,NVDA260601C00220000,-16.7,-18.0,bull,17.8,2026-06-01 11:51:54,25.0,True,2.0,4.0,2.0,NVDA,0.0,True,15.9,0.85
CALL,1.5,2026-06-01 12:20:18,2.22,2026-06-01 12:27:49,NVDA260601C00220000,48.0,72.0,bull,19.6,2026-06-01 12:20:07,25.0,True,4.0,5.0,5.0,NVDA,0.0,True,16.0,0.85
CALL,2.5,2026-06-01 12:34:30,1.96,2026-06-01 12:36:51,NVDA260601C00220000,-21.6,-54.0,bull,20.0,2026-06-01 12:34:19,40.0,True,5.0,5.0,5.0,NVDA,0.0,True,16.2,0.85
CALL,1.93,2026-06-01 12:45:13,2.89,2026-06-01 13:42:08,NVDA260601C00220000,49.7,96.0,bull,18.8,2026-06-01 12:45:03,40.0,True,3.0,5.0,3.0,NVDA,0.0,True,16.0,0.85
CALL,2.24,2026-06-02 09:51:31,2.25,2026-06-02 10:02:50,NVDA260603C00232500,0.4,1.0,bull,15.3,2026-06-02 09:51:22,40.0,False,7.0,6.0,6.0,NVDA,0.0,True,16.1,0.85
CALL,1.74,2026-06-02 13:04:03,1.25,2026-06-02 14:22:11,AAPL260603C00315000,-28.2,-49.0,bull,15.6,2026-06-02 13:03:58,28.0,False,6.0,5.0,6.0,AAPL,0.0,True,16.0,0.85
PUT,0.2,2026-06-05 12:33:54,0.34,2026-06-05 12:45:56,QQQ260605P00700000,70.0,56.0,neutral,15.6,2026-06-05 12:33:48,28.0,True,4.0,6.0,7.0,QQQ,1.0,False,18.1,0.85
PUT,2.4,2026-06-05 12:54:17,3.19,2026-06-05 13:06:31,QQQ260605P00717000,32.9,79.0,neutral,14.4,2026-06-05 12:54:11,25.0,True,3.0,6.0,4.0,QQQ,1.0,False,18.4,0.85
PUT,0.2,2026-06-05 13:18:01,0.14,2026-06-05 13:22:06,QQQ260605P00700000,-30.0,-18.0,neutral,15.2,2026-06-05 13:17:56,25.0,True,4.0,7.0,4.0,QQQ,1.0,False,18.8,0.85
PUT,0.21,2026-06-09 11:34:16,0.14,2026-06-09 11:40:43,QQQ260609P00680000,-33.3,-21.0,neutral,14.5,2026-06-09 11:34:12,28.0,False,5.0,5.0,7.0,QQQ,1.0,True,19.2,0.85
PUT,0.56,2026-06-09 12:15:12,0.84,2026-06-09 12:16:18,QQQ260609P00680000,50.0,28.0,neutral,14.5,2026-06-09 12:15:06,25.0,False,6.0,6.0,4.0,QQQ,1.0,True,20.9,0.7
PUT,0.43,2026-06-09 12:25:27,0.43,2026-06-09 12:31:52,QQQ260609P00670000,0.0,0.0,neutral,14.7,2026-06-09 12:25:21,25.0,False,6.0,7.0,3.0,QQQ,1.0,True,21.4,0.7
PUT,0.68,2026-06-09 12:56:22,0.49,2026-06-09 12:58:56,QQQ260609P00670000,-27.9,-19.0,neutral,15.2,2026-06-09 12:56:15,25.0,False,6.0,6.0,3.0,QQQ,2.0,True,23.3,0.7
CALL,2.29,2026-06-12 11:10:18,2.22,2026-06-12 11:32:50,QQQ260612C00724000,-3.1,-7.0,bull,14.0,2026-06-12 11:10:08,25.0,False,5.0,5.0,5.0,QQQ,0.0,True,18.8,0.85
CALL,0.63,2026-06-15 09:31:24,0.45,2026-06-15 09:32:00,AAPL260615C00295000,-28.6,-18.0,bull,17.2,2026-06-15 09:31:18,40.0,True,3.0,3.0,4.0,AAPL,0.0,True,16.3,0.85
CALL,1.44,2026-06-15 09:42:12,1.22,2026-06-15 09:43:05,AAPL260615C00295000,-15.3,-22.0,bull,19.9,2026-06-15 09:42:07,40.0,True,9.0,3.0,6.0,AAPL,0.0,True,16.3,0.85
CALL,1.18,2026-06-15 09:49:30,0.87,2026-06-15 09:54:16,AAPL260615C00295000,-26.3,-31.0,bull,18.4,2026-06-15 09:49:23,40.0,True,5.0,3.0,6.0,AAPL,0.0,True,16.1,0.85
CALL,0.42,2026-06-15 10:36:11,0.27,2026-06-15 10:39:41,AAPL260615C00297500,-35.7,-30.0,bull,18.4,2026-06-15 10:36:01,25.0,True,6.0,4.0,3.0,AAPL,0.0,True,16.4,0.85
CALL,0.43,2026-06-15 10:28:54,0.67,2026-06-15 11:32:50,SPY260615C00756000,55.8,48.0,bull,16.1,2026-06-15 10:28:40,25.0,False,6.0,5.0,4.0,SPY,2.0,True,16.4,0.85
CALL,1.48,2026-06-29 13:56:10,1.15,2026-06-29 13:58:22,QQQ260629C00723000,-22.3,-33.0,bull,14.9,2026-06-29 13:55:57,28.0,True,3.0,4.0,5.0,QQQ,0.0,False,17.8,0.85
CALL,0.6,2026-06-29 14:35:26,0.65,2026-06-29 14:50:37,SPY260629C00741000,8.3,5.0,bull,15.4,2026-06-29 14:35:15,28.0,True,3.0,4.0,3.0,SPY,1.0,False,17.7,0.85
CALL,0.63,2026-06-29 14:56:45,0.46,2026-06-29 15:02:40,SPY260629C00741000,-27.0,-17.0,bull,15.9,2026-06-29 14:56:35,33.0,True,3.0,4.0,5.0,SPY,1.0,False,17.6,0.85
CALL,0.54,2026-06-29 15:10:57,0.39,2026-06-29 15:16:13,SPY260629C00741000,-27.8,-15.0,bull,15.9,2026-06-29 15:10:48,28.0,True,3.0,4.0,5.0,SPY,1.0,False,17.6,0.85
CALL,0.22,2026-06-29 15:25:11,0.15,2026-06-29 15:30:17,SPY260629C00742000,-31.8,-21.0,bull,15.4,2026-06-29 15:24:59,28.0,True,3.0,4.0,3.0,SPY,1.0,False,17.6,0.85
CALL,0.39,2026-06-29 15:46:28,0.3,2026-06-29 15:50:50,SPY260629C00741000,-23.1,-9.0,bull,15.1,2026-06-29 15:46:17,33.0,True,5.0,2.0,2.0,SPY,1.0,False,17.6,0.85
CALL,1.08,2026-06-30 11:00:34,1.29,2026-06-30 11:21:21,AAPL260701C00290000,19.4,21.0,bull,19.4,2026-06-30 11:00:28,25.0,True,6.0,2.0,6.0,AAPL,0.0,True,17.0,0.85
CALL,1.85,2026-06-30 12:15:35,1.95,2026-06-30 13:27:46,SPY260630C00745000,5.4,10.0,bull,15.8,2026-06-30 12:15:22,28.0,True,3.0,5.0,3.0,SPY,1.0,False,16.8,0.85
